instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
58,20,40,BruteForce,S,0.14118783292360604,"{1: 1, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 1, 13: 0, 14: 0, 15: 1, 16: 1, 17: 0, 18: 1, 19: 1, 20: 0}"
59,20,40,BruteForce,U,0.3334553341846913,{}
60,20,40,BruteForce,S,0.05787179106846452,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 1, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 1, 19: 0, 20: 0}"
61,22,44,BruteForce,S,0.3065749160014093,"{1: 1, 2: 0, 3: 1, 4: 1, 5: 1, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 1, 20: 1, 21: 0, 22: 0}"
62,22,44,BruteForce,U,1.2811094168573618,{}
63,22,44,BruteForce,U,1.350775749888271,{}
64,22,44,BruteForce,U,1.1767918327823281,{}
65,22,44,BruteForce,U,1.479392166947946,{}
66,22,44,BruteForce,U,1.4403716661036015,{}
67,22,44,BruteForce,U,1.5965459579601884,{}
68,22,44,BruteForce,U,1.4353013329673558,{}
69,22,44,BruteForce,U,1.4545076659414917,{}
70,22,44,BruteForce,U,1.3628616670612246,{}
71,24,48,BruteForce,S,0.157527833012864,"{1: 0, 2: 0, 3: 1, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 1, 15: 0, 16: 1, 17: 0, 18: 1, 19: 1, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0}"
72,24,48,BruteForce,U,6.114563166862354,{}
73,24,48,BruteForce,U,5.615431749960408,{}
74,24,48,BruteForce,S,4.4927178339567035,"{1: 0, 2: 1, 3: 1, 4: 1, 5: 0, 6: 1, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 1, 15: 0, 16: 0, 17: 0, 18: 0, 19: 1, 20: 0, 21: 1, 22: 0, 23: 1, 24: 1}"
75,24,48,BruteForce,U,6.878778458107263,{}
76,24,48,BruteForce,U,5.3477354580536485,{}
77,24,48,BruteForce,U,5.741042166016996,{}
78,24,48,BruteForce,U,5.432547749951482,{}
79,24,48,BruteForce,U,5.7357677079271525,{}
80,24,48,BruteForce,S,3.3266615418251604,"{1: 0, 2: 0, 3: 1, 4: 1, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 1, 11: 1, 12: 0, 13: 0, 14: 1, 15: 1, 16: 0, 17: 0, 18: 1, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 1}"
81,4,20,BruteForce,U,2.1166866645216942e-05,{}
82,4,20,BruteForce,S,1.637497916817665e-05,"{1: 1, 2: 0, 3: 0, 4: 0}"
83,4,20,BruteForce,S,7.125083357095718e-06,"{1: 0, 2: 1, 3: 1, 4: 0}"
84,4,20,BruteForce,S,9.58307646214962e-06,"{1: 1, 2: 1, 3: 1, 4: 0}"
85,4,20,BruteForce,U,1.4499993994832039e-05,{}
86,4,20,BruteForce,S,9.416136890649796e-06,"{1: 1, 2: 1, 3: 0, 4: 1}"
87,4,20,BruteForce,U,1.1167023330926895e-05,{}
88,4,20,BruteForce,U,1.1125113815069199e-05,{}
89,4,20,BruteForce,U,1.2042000889778137e-05,{}
90,4,20,BruteForce,S,5.417037755250931e-06,"{1: 1, 2: 0, 3: 1, 4: 0}"
91,8,40,BruteForce,S,8.583394810557365e-05,"{1: 0, 2: 1, 3: 1, 4: 1, 5: 1, 6: 0, 7: 0, 8: 1}"
92,8,40,BruteForce,S,9.958166629076004e-06,"{1: 1, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0}"
93,8,40,BruteForce,S,7.958407513797283e-05,"{1: 1, 2: 0, 3: 0, 4: 1, 5: 0, 6: 1, 7: 1, 8: 0}"
94,8,40,BruteForce,U,0.0002398327924311161,{}
95,8,40,BruteForce,U,0.00014545884914696217,{}
96,8,40,BruteForce,U,0.00015995907597243786,{}
97,8,40,BruteForce,U,0.00016491697169840336,{}
98,8,40,BruteForce,U,0.00017191702499985695,{}
99,8,40,BruteForce,U,0.00012174993753433228,{}
100,8,40,BruteForce,U,0.00016595912165939808,{}
101,12,60,BruteForce,U,0.0027154590934515,{}
102,12,60,BruteForce,S,9.654113091528416e-05,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0}"
103,12,60,BruteForce,U,0.00271612498909235,{}
104,12,60,BruteForce,S,8.167000487446785e-06,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0}"
105,12,60,BruteForce,U,0.0024814170319586992,{}
106,12,60,BruteForce,U,0.0028124589007347822,{}
107,12,60,BruteForce,U,0.002734333975240588,{}
108,12,60,BruteForce,U,0.002994209062308073,{}
